License,Producer,PlantCount,acquired_datestamp
220513001,3D Productions - Towhee Rd Production,15,2023-02-02-100301
220295,4.21 Acres LLC - Los Lunas Production,594,2023-02-02-100301
210040001,42 Days - Producer,333,2023-02-02-100301
220640001,4A Farm LLC - Highway 24 Production,127,2023-02-02-100301
220150001,505 Clones LLC - Production,224,2023-02-02-100301
220346,505 Cultivation Exotics LLC - 4th St Production,102,2023-02-02-100301
220379001,505 Farms ABQ LLC - Peyton Rd Production,8,2023-02-02-100301
220716001,A and N Growers LLC - Camino de Paz Production,41,2023-02-02-100301
220495,A Farmer and His Dog LLC - Carro Producer,186,2023-02-02-100301
P220051,A Nice Dream Inc - Edith Production,219,2023-02-02-100301
220337001,Agra 420 - 2015 Gun Club Rd Production,715,2023-02-02-100301
210046001,Akeso Botanicals LLC,1500,2023-02-02-100301
220252001,Alas De Angel LLC - Edith Blvd Production,610,2023-02-02-100301
220685001,Albuquerque Cannabis Corporation LLC - CR-41 Production,214,2023-02-02-100301
220686,Alter Ego Cultivation LLC - Hadley Producer,717,2023-02-02-100301
220001003,Alto Growers LLC - Production,274,2023-02-02-100301
220546001,Animas Cannabis - Aztec Production,1903,2023-02-02-100301
P0080001,Animas Cannabis - Rd 2085 Production,218,2023-02-02-100301
P220098,Antenna LLC - Pinitos Producer,57,2023-02-02-100301
220562001,Arrowhead Canyon Hemp Farm - State Rd 522 Production,210,2023-02-02-100301
210043001,Astro Buds LLC - Production,820,2023-02-02-100301
210038,Baudaboomz2 LLC - Micro - 101-200,200,2023-02-02-100301
220122001,"BC Agriculture LLC - 52 CR 2290, Aztec - Production",7491,2023-02-02-100301
220200001,Bent Legacy - Round Mtn Rd Production,13,2023-02-02-100301
220878,Best Buds Cannabis LLC,28,2023-02-02-100301
80129,Best Daze - Formerly Giving Tree Organics- PRODUCER,3,2023-02-02-100301
5024,Best Daze - Formerly Giving Tree Organics- PRODUCER,596,2023-02-02-100301
80098,Best Daze - Formerly Giving Tree Organics-Production,765,2023-02-02-100301
220532,Best Life Productions - Roosevelt Production,529,2023-02-02-100301
P0068001,Bien Loca Industries LLC - Harzman Rd Production,30,2023-02-02-100301
P220032,Big Effin Treez LLC - Maldonado Production,65,2023-02-02-100301
