License,Producer,PlantCount,acquired_datestamp
220513001,3D Productions - Towhee Rd Production,15,2023-01-04-124541
210040001,42 Days - Producer,98,2023-01-04-124541
220012,505 Organix Premium Cannabis LLC,9,2023-01-04-124541
220342,518 Genetics LLC - Ocate Production,100,2023-01-04-124541
220495,A Farmer and His Dog LLC - Carro Producer,129,2023-01-04-124541
220337001,Agra 420 - 2015 Gun Club Rd Production,505,2023-01-04-124541
210046001,Akeso Botanicals LLC,56,2023-01-04-124541
220686,Alter Ego Cultivation LLC - Hadley Producer,55,2023-01-04-124541
210043001,Astro Buds LLC - Production,442,2023-01-04-124541
220141,Baca Pharms LLC - Micro Producer,142,2023-01-04-124541
210038,Baudaboomz2 LLC - Micro - 101-200,200,2023-01-04-124541
80129,Best Daze - Formerly Giving Tree Organics- PRODUCER,3,2023-01-04-124541
5024,Best Daze - Formerly Giving Tree Organics- PRODUCER,596,2023-01-04-124541
80098,Best Daze - Formerly Giving Tree Organics-Production,1,2023-01-04-124541
220532,Best Life Productions - Roosevelt Production,20,2023-01-04-124541
P220032,Big Effin Treez LLC - Maldonado Production,123,2023-01-04-124541
220458,"Blazin Serenity , LLC- Howard Producer",26,2023-01-04-124541
P220057,BOA Holistic LLC -Canyon Rd Production,200,2023-01-04-124541
220024,BodyMind ReLeaf,123,2023-01-04-124541
220037001,Botanix Ltd Co- Production,224,2023-01-04-124541
220007001,Bryans Greencare,94,2023-01-04-124541
220587001,Bubbas Buds LLC - Bosque Farms Production,162,2023-01-04-124541
P0013001,Budder Pros - Ranchitos Producer,294,2023-01-04-124541
80143,Budding Hope,3,2023-01-04-124541
1,Budding Hope Producer,189,2023-01-04-124541
P220010,Buffalo Bud Farming Co LLC - Production,10,2023-01-04-124541
220059,BX3 Enterprises LLC,4,2023-01-04-124541
220053,Cannabi12 Ltd,3,2023-01-04-124541
220151001,Cannaculture Grow Company LLC - Production,16,2023-01-04-124541
220409,Carlton  Kathy Hinkle - Fair Lady Ln Production,2,2023-01-04-124541
20210037,Carver Family Farm Micro- 101-200,37,2023-01-04-124541
220367,Caveman Pumping Services LLC-Hopi Micro Producer,2,2023-01-04-124541
5,CG Corrigan Producer,148,2023-01-04-124541
220293,Chico Rico Inc - Metro Blvd Production,77,2023-01-04-124541
220490,Clean Canna Farms LLC - Peaceful Producer,128,2023-01-04-124541
220087,Close Encounter Farms Inc,60,2023-01-04-124541
220260001,CMF Productions LLC - 2nd St Production,10,2023-01-04-124541
220120,"Colophony Co - Olsen Ave, Edgewood",30,2023-01-04-124541
9,Compassionate Distributors Producer - Nogal,308,2023-01-04-124541
220422,Cowboy RX LLC - State Hwy 47 Production,1875,2023-01-04-124541
210035,Cranium Extracts LLC - Los Arboles Production,10,2023-01-04-124541
220156,Davis Ranch  Gardens LLC - Production,130,2023-01-04-124541
220013001,DBGJR LLC,953,2023-01-04-124541
220062,Desert Flower Growers LLC,34,2023-01-04-124541
220435001,Desert Peaks Farms Inc - Mesilla Park Producation,1820,2023-01-04-124541
220478001,Don Verde LLC - Main St Production,2,2023-01-04-124541
220236001,Dozja Grows - Washington Production,129,2023-01-04-124541
220022,Dr Green Organics - Gandy Ln Production,198,2023-01-04-124541
220365001,"Dynamic Jack 1, LLC - Alan Producer",365,2023-01-04-124541
210041001,Earl and Tom LLC - Producer,64,2023-01-04-124541
220299001,East of West Ventures - Hobbs Production,1076,2023-01-04-124541
220421,"El Lumbre Farms, LLC - Baca Farms Rd Production",37,2023-01-04-124541
P220078,EMOG -Plant Producer,121,2023-01-04-124541
