City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,acquired_datestamp
Alamogordo,3915175.86,31788,3152888.06,32525,7068063.92,64313,2022-11-03-214109
Albuquerque,46343057.16,369634,53867399.42,607044,100210456.58,976678,2022-11-03-214109
Alto,85547.37,641,348232.53,3160,433779.9,3801,2022-11-03-214109
Anthony,319260.62,4166,2527174.18,30703,2846434.8,34869,2022-11-03-214109
Artesia,64642.59,1573,109865.59,3107,174508.18,4680,2022-11-03-214109
Aztec,37279.95,502,262445.79,4238,299725.74,4740,2022-11-03-214109
Belen,479659.62,5519,773016.41,10935,1252676.03,16454,2022-11-03-214109
Bernalillo,1196844.66,11110,2060145.46,26308,3256990.12,37418,2022-11-03-214109
Bosque Farms,4748.81,175,7397.5,307,12146.31,482,2022-11-03-214109
Carlsbad,2516003.54,20465,5381448.98,43748,7897452.52,64213,2022-11-03-214109
Cedar Crest,282217.41,2116,348274.06,3764,630491.47,5880,2022-11-03-214109
Chama,5574.12,118,59861.89,1265,65436.01,1383,2022-11-03-214109
Chaparral,205875.2,2910,1170628.87,20693,1376504.07,23603,2022-11-03-214109
Clayton,94764.73,1023,930624.47,7207,1025389.2,8230,2022-11-03-214109
Cloudcroft,64604.08,819,413165.96,4558,477770.04,5377,2022-11-03-214109
Clovis,3016647.47,29163,4977049.65,36420,7993697.12,65583,2022-11-03-214109
Corrales,274946.95,1669,310218.0,2525,585164.95,4194,2022-11-03-214109
Cuba,4740.59,126,53124.2,1669,57864.79,1795,2022-11-03-214109
Deming,778427.7,8595,1192381.12,17938,1970808.82,26533,2022-11-03-214109
Eagle Nest,34438.27,345,202712.1,2291,237150.37,2636,2022-11-03-214109
Edgewood,737554.55,5886,1247120.58,12028,1984675.13,17914,2022-11-03-214109
Espanola,1856175.13,16083,2134410.48,26193,3990585.61,42276,2022-11-03-214109
Estancia,31877.04,501,98968.12,1639,130845.16,2140,2022-11-03-214109
Farmington,1480412.16,12022,3788275.39,50688,5268687.55,62710,2022-11-03-214109
Fort Lauderdale,245.0,0,174.0,0,419.0,0,2022-11-03-214109
Fort Sumner,47140.75,808,111949.97,1772,159090.72,2580,2022-11-03-214109
Gallup,949593.1,8538,3511051.14,45106,4460644.24,53644,2022-11-03-214109
Grants,1087083.05,9303,1244569.69,13119,2331652.74,22422,2022-11-03-214109
Hobbs,2610525.8,17766,9149981.65,52250,11760507.45,70016,2022-11-03-214109
Jal,28.5,1,34822.02,482,34850.52,483,2022-11-03-214109
Kirtland,4416.95,143,44246.04,1590,48662.99,1733,2022-11-03-214109
Las Cruces,10215171.92,87082,12519838.81,124142,22735010.74,211224,2022-11-03-214109
Las Vegas,1413240.47,13966,1483736.28,18784,2896976.75,32750,2022-11-03-214109
Logan,11229.97,151,47361.56,610,58591.53,761,2022-11-03-214109
Los Alamos,125390.56,1111,243123.29,2944,368513.85,4055,2022-11-03-214109
Los Lunas,2559754.55,19586,2704098.33,28516,5263852.88,48102,2022-11-03-214109
Los Ranchos,16897.56,280,73289.06,1099,90186.62,1379,2022-11-03-214109
Lovington,27165.53,583,57380.86,1375,84546.39,1958,2022-11-03-214109
Madrid,46103.66,629,278735.0,3119,324838.66,3748,2022-11-03-214109
Mesilla,412.85,15,1632.41,59,2045.26,74,2022-11-03-214109
Mora,23467.09,648,62272.51,2051,85739.6,2699,2022-11-03-214109
Moriarty,75019.44,1479,212527.2,4742,287546.64,6221,2022-11-03-214109
Peralta,45244.35,1358,89750.96,2732,134995.31,4090,2022-11-03-214109
Placitas,247113.93,1386,148865.57,1321,395979.5,2707,2022-11-03-214109
Portales,1392485.33,14513,989095.3,10845,2381580.63,25358,2022-11-03-214109
Questa,11204.23,145,32966.63,300,44170.86,445,2022-11-03-214109
Raton,57652.46,478,503673.0,4071,561325.46,4549,2022-11-03-214109
Rio Rancho,5980252.57,39180,5210103.73,49532,11190356.3,88712,2022-11-03-214109
Roswell,3787350.35,30582,2327990.18,30225,6115340.52,60807,2022-11-03-214109
Ruidoso,2322341.17,18095,4509271.24,38015,6831612.42,56110,2022-11-03-214109
Santa Fe,10955921.77,82535,12750752.61,128561,23706674.38,211096,2022-11-03-214109
Silver City,1492615.4,13294,1221924.8,14906,2714540.2,28200,2022-11-03-214109
Socorro,724442.86,5376,798481.49,8263,1522924.35,13639,2022-11-03-214109
Sunland Park,1369518.35,9973,9187455.53,88169,10556973.88,98142,2022-11-03-214109
Taos,1178901.38,8523,2606014.6,25432,3784915.98,33955,2022-11-03-214109
Tatum,64611.12,628,242455.13,2288,307066.25,2916,2022-11-03-214109
Texico,30155.1,313,399128.68,2793,429283.78,3106,2022-11-03-214109
Truth Or Consequences,1416243.06,13873,1069371.24,12235,2485614.3,26108,2022-11-03-214109
Tucumcari,404810.68,4650,1810809.11,14092,2215619.79,18742,2022-11-03-214109
Tularosa,237786.01,2462,227425.92,2793,465211.93,5255,2022-11-03-214109
White Rock,13390.89,289,30577.03,863,43967.92,1152,2022-11-03-214109
