City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp
Cloudcroft,16117.27,299,95099.33,1626,111216.6,1925,September,September 2022,2022,2022-12-02-122043
Questa,1242.43,33,2532.99,78,3775.42,111,September,September 2022,2022,2022-12-02-122043
Artesia,18720.01,495,31444.12,892,50164.13,1387,September,September 2022,2022,2022-12-02-122043
Fort Sumner,11713.38,301,27598.46,602,39311.84,903,September,September 2022,2022,2022-12-02-122043
Rio Rancho,739068.55,12849,722146.98,16022,1461215.53,28871,September,September 2022,2022,2022-12-02-122043
Espanola,240927.29,5546,303820.41,8918,544747.7,14464,September,September 2022,2022,2022-12-02-122043
Truth Or Consequences,194735.87,4724,162218.4,4102,356954.27,8826,September,September 2022,2022,2022-12-02-122043
Mora,7122.11,223,22088.72,753,29210.83,976,September,September 2022,2022,2022-12-02-122043
Chaparral,51822.75,1023,340374.6,7128,392197.35,8151,September,September 2022,2022,2022-12-02-122043
Mesilla,83.85,4,99.29,6,183.14,10,September,September 2022,2022,2022-12-02-122043
Roswell,469184.86,10128,443469.58,10056,912654.44,20184,September,September 2022,2022,2022-12-02-122043
Belen,76875.42,1641,130101.39,3354,206976.81,4995,September,September 2022,2022,2022-12-02-122043
Estancia,6131.92,176,16367.69,544,22499.61,720,September,September 2022,2022,2022-12-02-122043
Logan,2729.25,72,11563.32,286,14292.57,358,September,September 2022,2022,2022-12-02-122043
Texico,4178.99,88,69345.14,876,73524.13,964,September,September 2022,2022,2022-12-02-122043
Anthony,70382.87,1412,468937.45,10120,539320.32,11532,September,September 2022,2022,2022-12-02-122043
Chama,1375.5,37,17559.2,392,18934.7,429,October,October 2022,2022,2022-12-02-122043
Eagle Nest,5936.87,102,36083.97,724,42020.84,826,October,October 2022,2022,2022-12-02-122043
Bernalillo,161418.59,3485,315536.37,8680,476954.96,12165,October,October 2022,2022,2022-12-02-122043
Carlsbad,323157.18,6514,815942.14,14655,1139099.32,21169,October,October 2022,2022,2022-12-02-122043
Belen,84848.44,1866,150930.23,3956,235778.67,5822,October,October 2022,2022,2022-12-02-122043
Bosque Farms,2193.43,81,4112.5,187,6305.93,268,October,October 2022,2022,2022-12-02-122043
Clayton,10419.51,295,154753.73,2414,165173.24,2709,October,October 2022,2022,2022-12-02-122043
Aztec,6418.53,136,72869.93,1564,79288.46,1700,October,October 2022,2022,2022-12-02-122043
Mesilla,329.0,11,1533.12,53,1862.12,64,October,October 2022,2022,2022-12-02-122043
Santa Fe,1365988.07,25397,1840011.29,42492,3205999.36,67889,October,October 2022,2022,2022-12-02-122043
Taos,135422.41,2519,360385.06,8104,495807.47,10623,October,October 2022,2022,2022-12-02-122043
Cedar Crest,28270.28,600,42257.16,1160,70527.44,1760,October,October 2022,2022,2022-12-02-122043
Gallup,122192.02,2847,499301.28,15733,621493.3,18580,October,October 2022,2022,2022-12-02-122043
Tucumcari,71654.93,1572,318620.69,4838,390275.62,6410,October,October 2022,2022,2022-12-02-122043
Estancia,6273.35,174,15873.13,545,22146.48,719,October,October 2022,2022,2022-12-02-122043
Artesia,45922.58,1078,78421.47,2215,124344.05,3293,October,October 2022,2022,2022-12-02-122043
Deming,134314.63,3084,234800.42,6869,369115.05,9953,October,October 2022,2022,2022-12-02-122043
Kirtland,4012.75,126,38658.88,1368,42671.63,1494,October,October 2022,2022,2022-12-02-122043
Placitas,21772.25,356,13575.0,338,35347.25,694,October,October 2022,2022,2022-12-02-122043
Silver City,167644.98,3883,172006.87,4716,339651.85,8599,October,October 2022,2022,2022-12-02-122043
Los Lunas,286146.09,5683,362861.86,9159,649007.95,14842,October,October 2022,2022,2022-12-02-122043
Roswell,435145.85,9686,477090.8,10275,912236.65,19961,October,October 2022,2022,2022-12-02-122043
Edgewood,91701.35,1951,154788.48,4021,246489.83,5972,October,October 2022,2022,2022-12-02-122043
Los Alamos,25596.64,341,48630.79,948,74227.43,1289,October,October 2022,2022,2022-12-02-122043
Clovis,397906.17,9356,713010.36,12567,1110916.53,21923,October,October 2022,2022,2022-12-02-122043
Mora,5196.48,143,20940.29,649,26136.77,792,October,October 2022,2022,2022-12-02-122043
Chaparral,54935.87,959,373271.43,7820,428207.3,8779,October,October 2022,2022,2022-12-02-122043
Alto,8110.37,161,45005.61,879,53115.98,1040,October,October 2022,2022,2022-12-02-122043
Rio Rancho,732223.53,12405,768998.67,17027,1501222.2,29432,October,October 2022,2022,2022-12-02-122043
Grants,127608.84,2817,164104.67,4311,291713.51,7128,October,October 2022,2022,2022-12-02-122043
Alamogordo,446878.48,9865,428790.64,10771,875669.12,20636,October,October 2022,2022,2022-12-02-122043
Texico,4023.18,102,59081.73,914,63104.91,1016,October,October 2022,2022,2022-12-02-122043
Moriarty,25113.0,586,68640.2,1697,93753.2,2283,October,October 2022,2022,2022-12-02-122043
Las Cruces,1294269.72,27501,1733497.35,42179,3027767.07,69680,October,October 2022,2022,2022-12-02-122043
Sunland Park,191717.3,3255,1532778.57,31211,1724495.87,34466,October,October 2022,2022,2022-12-02-122043
White Rock,8622.51,170,17206.31,445,25828.82,615,October,October 2022,2022,2022-12-02-122043
Questa,123.62,3,132.4,3,256.02,6,October,October 2022,2022,2022-12-02-122043
Cloudcroft,12600.43,249,73467.65,1333,86068.08,1582,October,October 2022,2022,2022-12-02-122043
Las Vegas,175823.98,4245,225176.08,6266,401000.06,10511,October,October 2022,2022,2022-12-02-122043
Los Ranchos,3333.41,83,17387.2,362,20720.61,445,October,October 2022,2022,2022-12-02-122043
Cuba,4740.59,126,53078.21,1668,57818.8,1794,October,October 2022,2022,2022-12-02-122043
Raton,7001.66,160,83467.16,1339,90468.82,1499,October,October 2022,2022,2022-12-02-122043
Peralta,21419.55,635,38001.66,1199,59421.21,1834,October,October 2022,2022,2022-12-02-122043
Espanola,219657.12,4963,292934.82,8513,512591.94,13476,October,October 2022,2022,2022-12-02-122043
Portales,174300.25,4621,134627.93,3766,308928.18,8387,October,October 2022,2022,2022-12-02-122043
Anthony,77943.11,1523,543672.11,11308,621615.22,12831,October,October 2022,2022,2022-12-02-122043
Fort Sumner,8479.01,227,21426.07,519,29905.08,746,October,October 2022,2022,2022-12-02-122043
Albuquerque,6026388.58,118219,8104520.48,206660,14130909.06,324879,October,October 2022,2022,2022-12-02-122043
Lovington,12677.59,245,28236.53,659,40914.12,904,October,October 2022,2022,2022-12-02-122043
Tularosa,30932.46,725,28911.32,901,59843.78,1626,October,October 2022,2022,2022-12-02-122043
Madrid,8174.33,193,48809.99,1108,56984.32,1301,October,October 2022,2022,2022-12-02-122043
Hobbs,324166.95,5561,1477676.98,18309,1801843.93,23870,October,October 2022,2022,2022-12-02-122043
Truth Or Consequences,175301.49,4205,162388.0,4070,337689.49,8275,October,October 2022,2022,2022-12-02-122043
Corrales,38625.0,492,42928.9,827,81553.9,1319,October,October 2022,2022,2022-12-02-122043
Farmington,180960.51,3823,668400.73,17942,849361.24,21765,October,October 2022,2022,2022-12-02-122043
Socorro,69694.38,1451,97051.79,2654,166746.17,4105,October,October 2022,2022,2022-12-02-122043
Ruidoso,288617.49,5568,626493.14,12260,915110.63,17828,October,October 2022,2022,2022-12-02-122043
Jal,28.5,1,34822.02,482,34850.52,483,October,October 2022,2022,2022-12-02-122043
Tatum,15643.25,189,78456.02,829,94099.27,1018,October,October 2022,2022,2022-12-02-122043
Edgewood,98451.21,1951,147262.41,3622,245713.62,5573,November,November 2022,2022,2022-12-02-122043
Las Cruces,1204719.09,25224,1734341.78,42242,2939060.87,67466,November,November 2022,2022,2022-12-02-122043
Red River,178.48,10,13227.84,253,13406.32,263,November,November 2022,2022,2022-12-02-122043
Los Lunas,254227.85,5027,325825.41,8267,580053.26,13294,November,November 2022,2022,2022-12-02-122043
Alamogordo,448644.91,9452,413541.72,10155,862186.63,19607,November,November 2022,2022,2022-12-02-122043
Bernalillo,142928.84,3186,285395.48,7956,428324.32,11142,November,November 2022,2022,2022-12-02-122043
Bloomfield,0.0,0,9764.09,345,9764.09,345,November,November 2022,2022,2022-12-02-122043
Texico,7802.91,236,94869.59,1383,102672.5,1619,November,November 2022,2022,2022-12-02-122043
Hobbs,343005.38,5571,1538034.39,18278,1881039.77,23849,November,November 2022,2022,2022-12-02-122043
Fort Sumner,9235.54,222,22451.97,500,31687.51,722,November,November 2022,2022,2022-12-02-122043
Gallup,115994.15,2607,500670.62,15764,616664.77,18371,November,November 2022,2022,2022-12-02-122043
Albuquerque,5639754.73,109072,7718417.84,193838,13358172.56,302910,November,November 2022,2022,2022-12-02-122043
Moriarty,23838.6,545,68154.73,1737,91993.33,2282,November,November 2022,2022,2022-12-02-122043
Chaparral,56259.43,996,422141.11,8476,478400.54,9472,November,November 2022,2022,2022-12-02-122043
Tatum,12867.24,163,77044.06,748,89911.3,911,November,November 2022,2022,2022-12-02-122043
Sunland Park,185090.48,3089,1612156.29,33066,1797246.77,36155,November,November 2022,2022,2022-12-02-122043
Roswell,422367.51,8807,486426.07,10378,908793.58,19185,November,November 2022,2022,2022-12-02-122043
Clayton,10527.48,263,142999.92,2196,153527.4,2459,November,November 2022,2022,2022-12-02-122043
Bosque Farms,3404.49,112,8554.98,278,11959.47,390,November,November 2022,2022,2022-12-02-122043
Raton,6154.35,133,62865.75,1164,69020.1,1297,November,November 2022,2022,2022-12-02-122043
Cedar Crest,24941.21,482,34949.13,935,59890.34,1417,November,November 2022,2022,2022-12-02-122043
Cuba,3664.13,96,57943.14,1836,61607.27,1932,November,November 2022,2022,2022-12-02-122043
Los Ranchos,2299.3,59,13443.57,331,15742.87,390,November,November 2022,2022,2022-12-02-122043
Estancia,5859.71,164,12875.21,390,18734.92,554,November,November 2022,2022,2022-12-02-122043
Socorro,68033.02,1443,80015.6,2313,148048.62,3756,November,November 2022,2022,2022-12-02-122043
Mora,5186.8,126,19526.72,549,24713.52,675,November,November 2022,2022,2022-12-02-122043
Farmington,168122.08,3475,685673.87,18667,853795.95,22142,November,November 2022,2022,2022-12-02-122043
Jal,1190.6,26,98159.12,1481,99349.72,1507,November,November 2022,2022,2022-12-02-122043
Tularosa,35168.05,771,35781.57,875,70949.62,1646,November,November 2022,2022,2022-12-02-122043
Truth Or Consequences,167452.8,3933,158840.12,4005,326292.92,7938,November,November 2022,2022,2022-12-02-122043
Carlsbad,364035.62,6375,838966.78,14274,1203002.4,20649,November,November 2022,2022,2022-12-02-122043
Kirtland,3966.5,116,42264.0,1527,46230.5,1643,November,November 2022,2022,2022-12-02-122043
Madrid,6252.48,110,30358.65,636,36611.13,746,November,November 2022,2022,2022-12-02-122043
Eagle Nest,4594.37,86,28463.78,618,33058.15,704,November,November 2022,2022,2022-12-02-122043
Grants,123122.29,2604,155435.91,4085,278558.2,6689,November,November 2022,2022,2022-12-02-122043
Ruidoso,285415.02,5208,591838.46,11402,877253.48,16610,November,November 2022,2022,2022-12-02-122043
Placitas,22572.96,406,14997.94,364,37570.9,770,November,November 2022,2022,2022-12-02-122043
Lovington,17360.96,338,33031.17,852,50392.13,1190,November,November 2022,2022,2022-12-02-122043
Corrales,36219.5,449,40180.06,700,76399.56,1149,November,November 2022,2022,2022-12-02-122043
Portales,176087.13,4226,149002.59,3701,325089.72,7927,November,November 2022,2022,2022-12-02-122043
Peralta,19804.36,572,38548.85,1230,58353.21,1802,November,November 2022,2022,2022-12-02-122043
Chama,1966.3,42,10348.25,255,12314.55,297,November,November 2022,2022,2022-12-02-122043
Deming,127809.56,2850,239725.2,6923,367534.76,9773,November,November 2022,2022,2022-12-02-122043
Rio Rancho,706694.08,11653,750062.79,16434,1456756.87,28087,November,November 2022,2022,2022-12-02-122043
Belen,88558.5,2053,171170.26,4525,259728.76,6578,November,November 2022,2022,2022-12-02-122043
Alto,7472.66,150,38137.85,816,45610.51,966,November,November 2022,2022,2022-12-02-122043
White Rock,9679.91,172,18685.54,463,28365.45,635,November,November 2022,2022,2022-12-02-122043
Los Alamos,29110.63,362,55141.19,947,84251.82,1309,November,November 2022,2022,2022-12-02-122043
Mesilla,660.61,16,6003.03,179,6663.64,195,November,November 2022,2022,2022-12-02-122043
Santa Fe,1281222.84,23158,1723176.81,39568,3004399.65,62726,November,November 2022,2022,2022-12-02-122043
Anthony,76021.99,1473,574260.85,11236,650282.84,12709,November,November 2022,2022,2022-12-02-122043
Tucumcari,68254.1,1576,283429.27,4391,351683.37,5967,November,November 2022,2022,2022-12-02-122043
Taos,123391.88,2424,316830.1,7031,440221.98,9455,November,November 2022,2022,2022-12-02-122043
Questa,471.21,13,456.55,18,927.77,31,November,November 2022,2022,2022-12-02-122043
Artesia,53907.77,1018,105393.24,2398,159301.01,3416,November,November 2022,2022,2022-12-02-122043
Aztec,7090.56,131,64900.59,1631,71991.15,1762,November,November 2022,2022,2022-12-02-122043
Las Vegas,161465.95,3767,195944.77,5496,357410.72,9263,November,November 2022,2022,2022-12-02-122043
Silver City,170225.92,3844,166767.5,4389,336993.42,8233,November,November 2022,2022,2022-12-02-122043
Clovis,395809.94,8718,692817.63,12007,1088627.58,20725,November,November 2022,2022,2022-12-02-122043
Espanola,205325.54,4635,269509.8,7742,474835.34,12377,November,November 2022,2022,2022-12-02-122043
Cloudcroft,9369.83,174,63651.51,1081,73021.34,1255,November,November 2022,2022,2022-12-02-122043
