City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp
Santa Fe,1662793.49,31242,1719723.0,37713,3382516.49,68955,May,May 2022,2022,2022-12-02-122043
Estancia,2897.49,88,11771.16,333,14668.65,421,May,May 2022,2022,2022-12-02-122043
Cloudcroft,2864.5,67,17385.1,338,20249.6,405,May,May 2022,2022,2022-12-02-122043
Bernalillo,160469.41,3588,254450.69,6652,414920.1,10240,May,May 2022,2022,2022-12-02-122043
Questa,0.0,0,3277.89,91,3277.89,91,May,May 2022,2022,2022-12-02-122043
Corrales,41766.7,645,48066.65,952,89833.35,1597,May,May 2022,2022,2022-12-02-122043
Los Alamos,7195.92,180,16618.03,423,23813.95,603,May,May 2022,2022,2022-12-02-122043
Las Cruces,1567876.91,31296,1776846.7,37214,3344723.61,68510,May,May 2022,2022,2022-12-02-122043
Chaparral,3741.3,46,4764.89,100,8506.19,146,May,May 2022,2022,2022-12-02-122043
Clovis,447645.07,10101,681381.78,11320,1129026.85,21421,May,May 2022,2022,2022-12-02-122043
Alto,14353.39,274,44479.58,905,58832.97,1179,May,May 2022,2022,2022-12-02-122043
Cedar Crest,47683.21,885,56005.0,1270,103688.21,2155,May,May 2022,2022,2022-12-02-122043
Portales,209195.07,5291,152356.64,3542,361551.71,8833,May,May 2022,2022,2022-12-02-122043
Ruidoso,353141.65,6759,555675.28,10214,908816.93,16973,May,May 2022,2022,2022-12-02-122043
Hobbs,409497.41,7095,1202846.33,15250,1612343.74,22345,May,May 2022,2022,2022-12-02-122043
Tucumcari,55579.45,1194,199530.36,3099,255109.81,4293,May,May 2022,2022,2022-12-02-122043
Rio Rancho,960464.41,16494,762454.58,16240,1722918.99,32734,May,May 2022,2022,2022-12-02-122043
Silver City,236822.73,5102,161314.06,4194,398136.79,9296,May,May 2022,2022,2022-12-02-122043
Placitas,41886.6,682,24146.48,570,66033.08,1252,May,May 2022,2022,2022-12-02-122043
Roswell,630035.5,12552,145968.55,2969,776004.05,15521,May,May 2022,2022,2022-12-02-122043
Los Ranchos,1013.99,33,3687.23,91,4701.22,124,May,May 2022,2022,2022-12-02-122043
Eagle Nest,1149.37,30,3184.25,94,4333.62,124,May,May 2022,2022,2022-12-02-122043
Grants,168310.36,3552,187853.43,4121,356163.79,7673,May,May 2022,2022,2022-12-02-122043
Socorro,127906.58,2487,133870.86,3103,261777.44,5590,May,May 2022,2022,2022-12-02-122043
