City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,acquired_datestamp
Alamogordo,4363820.77,91898,3566429.78,88103,7930250.55,180001,2022-12-02-122050
Albuquerque,52110491.6,999851,61672649.1,1483971,113783140.69,2483822,2022-12-02-122050
Alto,93020.03,1882,386370.38,7937,479390.41,9819,2022-12-02-122050
Anthony,395282.61,7941,3101368.43,63795,3496651.04,71736,2022-12-02-122050
Artesia,118550.36,2591,215258.83,5505,333809.19,8096,2022-12-02-122050
Aztec,44370.51,866,327346.38,7324,371716.89,8190,2022-12-02-122050
Belen,568218.12,12407,944186.67,23973,1512404.79,36380,2022-12-02-122050
Bernalillo,1339773.5,29329,2345540.94,62783,3685314.44,92112,2022-12-02-122050
Bloomfield,0.0,0,9764.09,345,9764.09,345,2022-12-02-122050
Bosque Farms,8153.3,287,15952.48,585,24105.78,872,2022-12-02-122050
Carlsbad,2880039.16,54520,6220415.76,108703,9100454.92,163223,2022-12-02-122050
Cedar Crest,307158.62,5993,383223.19,9481,690381.81,15474,2022-12-02-122050
Chama,7540.42,169,70210.14,1607,77750.56,1776,2022-12-02-122050
Chaparral,262134.63,4884,1592769.98,32850,1854904.61,37734,2022-12-02-122050
Clayton,105292.21,2630,1073624.39,16649,1178916.6,19279,2022-12-02-122050
Cloudcroft,73973.91,1388,476817.47,8259,550791.38,9647,2022-12-02-122050
Clovis,3412457.41,77446,5669867.28,96089,9082324.7,173535,2022-12-02-122050
Corrales,311166.45,4466,350398.06,6870,661564.51,11336,2022-12-02-122050
Cuba,8404.72,222,111067.34,3505,119472.06,3727,2022-12-02-122050
Deming,906237.26,20988,1432106.32,40886,2338343.58,61874,2022-12-02-122050
Eagle Nest,39032.64,749,231175.88,4580,270208.52,5329,2022-12-02-122050
Edgewood,836005.76,16545,1394382.99,33729,2230388.75,50274,2022-12-02-122050
Espanola,2061500.67,46575,2403920.28,67180,4465420.95,113755,2022-12-02-122050
Estancia,37736.75,1090,111843.33,3433,149580.08,4523,2022-12-02-122050
Farmington,1648690.41,33546,4474815.56,116135,6123505.97,149681,2022-12-02-122050
Fort Sumner,56376.29,1410,134401.94,3142,190778.23,4552,2022-12-02-122050
Gallup,1065587.25,23659,4011721.76,116621,5077309.01,140280,2022-12-02-122050
Grants,1220049.11,25831,1407969.5,33992,2628018.61,59823,2022-12-02-122050
Hobbs,2953531.18,50330,10688016.04,131784,13641547.22,182114,2022-12-02-122050
Jal,1219.1,27,132981.14,1963,134200.24,1990,2022-12-02-122050
Kirtland,8383.45,259,86510.04,3117,94893.49,3376,2022-12-02-122050
Las Cruces,11443638.16,234451,14295172.47,319157,25738810.64,553608,2022-12-02-122050
Las Vegas,1578795.63,36927,1682136.95,43776,3260932.58,80703,2022-12-02-122050
Logan,11229.97,271,47361.56,983,58591.53,1254,2022-12-02-122050
Los Alamos,154501.19,2328,298264.48,5958,452765.67,8286,2022-12-02-122050
Los Lunas,2813982.4,57137,3029923.74,74086,5843906.14,131223,2022-12-02-122050
Los Ranchos,19196.86,536,86732.63,2043,105929.49,2579,2022-12-02-122050
Lovington,44526.49,921,90412.03,2227,134938.52,3148,2022-12-02-122050
Madrid,52356.14,1056,309093.65,7004,361449.79,8060,2022-12-02-122050
Mesilla,1073.46,31,7635.44,238,8708.9,269,2022-12-02-122050
Mora,28653.89,774,81799.23,2600,110453.12,3374,2022-12-02-122050
Moriarty,98858.04,2300,280681.93,7235,379539.97,9535,2022-12-02-122050
Peralta,65048.71,1962,128299.81,4161,193348.52,6123,2022-12-02-122050
Placitas,269686.89,4450,163863.51,3975,433550.4,8425,2022-12-02-122050
Portales,1568572.46,39614,1138097.89,28323,2706670.35,67937,2022-12-02-122050
Questa,11675.44,260,33423.18,855,45098.63,1115,2022-12-02-122050
Raton,63806.81,1227,566538.75,9930,630345.56,11157,2022-12-02-122050
Red River,178.48,10,13227.84,253,13406.32,263,2022-12-02-122050
Rio Rancho,6686946.65,112804,5960166.52,128951,12647113.17,241755,2022-12-02-122050
Roswell,4229053.59,87461,2824122.5,60640,7053176.08,148101,2022-12-02-122050
Ruidoso,2607756.19,49085,5101109.7,95028,7708865.9,144113,2022-12-02-122050
Santa Fe,12245021.8,227383,14478931.81,325537,26723953.61,552920,2022-12-02-122050
Silver City,1662841.32,37520,1388692.3,36923,3051533.62,74443,2022-12-02-122050
Socorro,792475.88,16319,878497.09,22598,1670972.97,38917,2022-12-02-122050
Sunland Park,1554608.83,27820,10799611.82,218998,12354220.65,246818,2022-12-02-122050
Taos,1302293.26,23982,2922844.7,62229,4225137.96,86211,2022-12-02-122050
Tatum,77478.36,935,319499.19,3499,396977.55,4434,2022-12-02-122050
Texico,37958.01,851,493998.27,7064,531956.28,7915,2022-12-02-122050
Truth Or Consequences,1583695.86,37782,1228211.36,30825,2811907.22,68607,2022-12-02-122050
Tucumcari,473064.78,10748,2094238.38,32233,2567303.16,42981,2022-12-02-122050
Tularosa,272954.06,6579,263207.49,7512,536161.55,14091,2022-12-02-122050
White Rock,23070.8,461,49262.57,1326,72333.37,1787,2022-12-02-122050
