City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Eagle Nest,6327.81,124,40369.74,758,46697.55,882,September,September 2022,2022,2022-11-04-145018,
Los Lunas,322256.9,6607,375251.97,9402,697508.87,16009,September,September 2022,2022,2022-11-04-145018,
Raton,8844.86,156,78756.91,1344,87601.77,1500,September,September 2022,2022,2022-11-04-145018,
Farmington,193079.74,3985,658121.81,17103,851201.55,21088,September,September 2022,2022,2022-11-04-145018,
Portales,178727.01,4720,135235.74,3482,313962.75,8202,September,September 2022,2022,2022-11-04-145018,Texas
Bosque Farms,2555.38,94,3285.0,120,5840.38,214,September,September 2022,2022,2022-11-04-145018,
Santa Fe,1470864.28,27335,1854688.92,42500,3325553.2,69835,September,September 2022,2022,2022-11-04-145018,
Cloudcroft,16117.27,299,95099.33,1626,111216.6,1925,September,September 2022,2022,2022-11-04-145018,
Questa,1242.43,33,2532.99,78,3775.42,111,September,September 2022,2022,2022-11-04-145018,
Artesia,18720.01,495,31444.12,892,50164.13,1387,September,September 2022,2022,2022-11-04-145018,
Fort Sumner,11713.38,301,27598.46,602,39311.84,903,September,September 2022,2022,2022-11-04-145018,
Rio Rancho,739068.55,12849,722146.98,16022,1461215.53,28871,September,September 2022,2022,2022-11-04-145018,
Espanola,240927.29,5546,303820.41,8918,544747.7,14464,September,September 2022,2022,2022-11-04-145018,
Truth Or Consequences,194735.87,4724,162218.4,4102,356954.27,8826,September,September 2022,2022,2022-11-04-145018,
Mora,7122.11,223,22088.72,753,29210.83,976,September,September 2022,2022,2022-11-04-145018,
Chaparral,51822.75,1023,340374.6,7128,392197.35,8151,September,September 2022,2022,2022-11-04-145018,Texas
Mesilla,83.85,4,99.29,6,183.14,10,September,September 2022,2022,2022-11-04-145018,Texas
Roswell,469184.86,10128,443469.58,10056,912654.44,20184,September,September 2022,2022,2022-11-04-145018,Texas
Belen,76875.42,1641,130101.39,3354,206976.81,4995,September,September 2022,2022,2022-11-04-145018,
Estancia,6131.92,176,16367.69,544,22499.61,720,September,September 2022,2022,2022-11-04-145018,
Logan,2729.25,72,11563.32,286,14292.57,358,September,September 2022,2022,2022-11-04-145018,Texas
Texico,4178.99,88,69345.14,876,73524.13,964,September,September 2022,2022,2022-11-04-145018,Texas
Anthony,70382.87,1412,468937.45,10120,539320.32,11532,September,September 2022,2022,2022-11-04-145018,Texas
Chama,1375.5,37,17559.2,392,18934.7,429,October,October 2022,2022,2022-11-04-145018,
Eagle Nest,5936.87,102,36083.97,724,42020.84,826,October,October 2022,2022,2022-11-04-145018,
Bernalillo,161418.59,3485,315536.37,8680,476954.96,12165,October,October 2022,2022,2022-11-04-145018,
Carlsbad,323157.18,6514,815942.14,14655,1139099.32,21169,October,October 2022,2022,2022-11-04-145018,Texas
Belen,84848.44,1866,150930.23,3956,235778.67,5822,October,October 2022,2022,2022-11-04-145018,
Bosque Farms,2193.43,81,4112.5,187,6305.93,268,October,October 2022,2022,2022-11-04-145018,
Clayton,10419.51,295,154753.73,2414,165173.24,2709,October,October 2022,2022,2022-11-04-145018,Texas
Aztec,6418.53,136,72869.93,1564,79288.46,1700,October,October 2022,2022,2022-11-04-145018,
Mesilla,329.0,11,1533.12,53,1862.12,64,October,October 2022,2022,2022-11-04-145018,Texas
Santa Fe,1365988.07,25397,1840011.29,42492,3205999.36,67889,October,October 2022,2022,2022-11-04-145018,
Taos,135422.41,2519,360385.06,8104,495807.47,10623,October,October 2022,2022,2022-11-04-145018,
Cedar Crest,28270.28,600,42257.16,1160,70527.44,1760,October,October 2022,2022,2022-11-04-145018,
Gallup,122192.02,2847,499301.28,15733,621493.3,18580,October,October 2022,2022,2022-11-04-145018,
Tucumcari,71654.93,1572,318620.69,4838,390275.62,6410,October,October 2022,2022,2022-11-04-145018,
Estancia,6273.35,174,15873.13,545,22146.48,719,October,October 2022,2022,2022-11-04-145018,
Artesia,45922.58,1078,78421.47,2215,124344.05,3293,October,October 2022,2022,2022-11-04-145018,
Deming,134314.63,3084,234800.42,6869,369115.05,9953,October,October 2022,2022,2022-11-04-145018,
Kirtland,4012.75,126,38658.88,1368,42671.63,1494,October,October 2022,2022,2022-11-04-145018,
Placitas,21772.25,356,13575.0,338,35347.25,694,October,October 2022,2022,2022-11-04-145018,
Silver City,167644.98,3883,172006.87,4716,339651.85,8599,October,October 2022,2022,2022-11-04-145018,
Los Lunas,286146.09,5683,362861.86,9159,649007.95,14842,October,October 2022,2022,2022-11-04-145018,
Roswell,435145.85,9686,477090.8,10275,912236.65,19961,October,October 2022,2022,2022-11-04-145018,Texas
Edgewood,91701.35,1951,154788.48,4021,246489.83,5972,October,October 2022,2022,2022-11-04-145018,
Los Alamos,25596.64,341,48630.79,948,74227.43,1289,October,October 2022,2022,2022-11-04-145018,
Clovis,397906.17,9356,713010.36,12567,1110916.53,21923,October,October 2022,2022,2022-11-04-145018,Texas
Mora,5196.48,143,20940.29,649,26136.77,792,October,October 2022,2022,2022-11-04-145018,
Chaparral,54935.87,959,373271.43,7820,428207.3,8779,October,October 2022,2022,2022-11-04-145018,Texas
Alto,8110.37,161,45005.61,879,53115.98,1040,October,October 2022,2022,2022-11-04-145018,
Rio Rancho,732223.53,12405,768998.67,17027,1501222.2,29432,October,October 2022,2022,2022-11-04-145018,
Grants,127608.84,2817,164104.67,4311,291713.51,7128,October,October 2022,2022,2022-11-04-145018,
Alamogordo,446878.48,9865,428790.64,10771,875669.12,20636,October,October 2022,2022,2022-11-04-145018,
Texico,4023.18,102,59081.73,914,63104.91,1016,October,October 2022,2022,2022-11-04-145018,Texas
Moriarty,25113.0,586,68640.2,1697,93753.2,2283,October,October 2022,2022,2022-11-04-145018,
Las Cruces,1294269.72,27501,1733497.35,42179,3027767.07,69680,October,October 2022,2022,2022-11-04-145018,Texas
Sunland Park,191717.3,3255,1532778.57,31211,1724495.87,34466,October,October 2022,2022,2022-11-04-145018,Texas
White Rock,8622.51,170,17206.31,445,25828.82,615,October,October 2022,2022,2022-11-04-145018,
Questa,123.62,3,132.4,3,256.02,6,October,October 2022,2022,2022-11-04-145018,
Cloudcroft,12600.43,249,73467.65,1333,86068.08,1582,October,October 2022,2022,2022-11-04-145018,
Las Vegas,175823.98,4245,225176.08,6266,401000.06,10511,October,October 2022,2022,2022-11-04-145018,
Los Ranchos,3333.41,83,17387.2,362,20720.61,445,October,October 2022,2022,2022-11-04-145018,
Cuba,4740.59,126,53078.21,1668,57818.8,1794,October,October 2022,2022,2022-11-04-145018,
Raton,7001.66,160,83467.16,1339,90468.82,1499,October,October 2022,2022,2022-11-04-145018,
Peralta,21419.55,635,38001.66,1199,59421.21,1834,October,October 2022,2022,2022-11-04-145018,
Espanola,219657.12,4963,292934.82,8513,512591.94,13476,October,October 2022,2022,2022-11-04-145018,
Portales,174300.25,4621,134627.93,3766,308928.18,8387,October,October 2022,2022,2022-11-04-145018,Texas
Anthony,77943.11,1523,543672.11,11308,621615.22,12831,October,October 2022,2022,2022-11-04-145018,Texas
Fort Sumner,8479.01,227,21426.07,519,29905.08,746,October,October 2022,2022,2022-11-04-145018,
Albuquerque,6026388.58,118219,8104520.48,206660,14130909.06,324879,October,October 2022,2022,2022-11-04-145018,
Lovington,12677.59,245,28236.53,659,40914.12,904,October,October 2022,2022,2022-11-04-145018,Texas
Tularosa,30932.46,725,28911.32,901,59843.78,1626,October,October 2022,2022,2022-11-04-145018,
Madrid,8174.33,193,48809.99,1108,56984.32,1301,October,October 2022,2022,2022-11-04-145018,
Hobbs,324166.95,5561,1477676.98,18309,1801843.93,23870,October,October 2022,2022,2022-11-04-145018,Texas
Truth Or Consequences,175301.49,4205,162388.0,4070,337689.49,8275,October,October 2022,2022,2022-11-04-145018,
Corrales,38625.0,492,42928.9,827,81553.9,1319,October,October 2022,2022,2022-11-04-145018,
Farmington,180960.51,3823,668400.73,17942,849361.24,21765,October,October 2022,2022,2022-11-04-145018,
Socorro,69694.38,1451,97051.79,2654,166746.17,4105,October,October 2022,2022,2022-11-04-145018,
Ruidoso,288617.49,5568,626493.14,12260,915110.63,17828,October,October 2022,2022,2022-11-04-145018,
Jal,28.5,1,34822.02,482,34850.52,483,October,October 2022,2022,2022-11-04-145018,
Tatum,15643.25,189,78456.02,829,94099.27,1018,October,October 2022,2022,2022-11-04-145018,
