City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Socorro,127906.58,0,133870.86,0,261777.44,0,May,May 2022,2022,2022-11-04-145018,
Carlsbad,375399.17,0,705142.14,0,1080541.31,0,May,May 2022,2022,2022-11-04-145018,Texas
Estancia,2897.49,0,11771.16,0,14668.65,0,May,May 2022,2022,2022-11-04-145018,
Rio Rancho,960464.41,0,762454.58,0,1722918.99,0,May,May 2022,2022,2022-11-04-145018,
Clovis,447645.07,0,681381.78,0,1129026.85,0,May,May 2022,2022,2022-11-04-145018,Texas
Cedar Crest,47683.21,0,56005.0,0,103688.21,0,May,May 2022,2022,2022-11-04-145018,
Cloudcroft,2864.5,0,17385.1,0,20249.6,0,May,May 2022,2022,2022-11-04-145018,
Grants,166202.65,0,186269.4,0,352472.05,0,May,May 2022,2022,2022-11-04-145018,
Farmington,237083.56,0,403494.77,0,640578.33,0,May,May 2022,2022,2022-11-04-145018,
Los Ranchos,1013.99,0,3687.23,0,4701.22,0,May,May 2022,2022,2022-11-04-145018,
Tucumcari,55579.45,0,199530.36,0,255109.81,0,May,May 2022,2022,2022-11-04-145018,
Deming,107660.51,0,160245.1,0,267905.61,0,May,May 2022,2022,2022-11-04-145018,
Silver City,236822.73,0,161314.06,0,398136.79,0,May,May 2022,2022,2022-11-04-145018,
Espanola,297048.49,0,302497.52,0,599546.01,0,May,May 2022,2022,2022-11-04-145018,
Hobbs,409497.41,0,1202846.33,0,1612343.74,0,May,May 2022,2022,2022-11-04-145018,Texas
Questa,0.0,0,3277.89,0,3277.89,0,May,May 2022,2022,2022-11-04-145018,
Anthony,20408.76,0,283214.02,0,303622.78,0,May,May 2022,2022,2022-11-04-145018,Texas
Madrid,3148.8,0,40667.6,0,43816.4,0,May,May 2022,2022,2022-11-04-145018,
Albuquerque,7063363.36,0,7303092.01,0,14366455.37,0,May,May 2022,2022,2022-11-04-145018,
Sunland Park,208097.19,0,1273552.79,0,1481649.98,0,May,May 2022,2022,2022-11-04-145018,Texas
Corrales,41766.7,0,48066.65,0,89833.35,0,May,May 2022,2022,2022-11-04-145018,
