Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
" Kure, Inc. Dispensary Santa Fe Third Location",3354 Cerrillos Rd,Santa Fe,NM,87507,35.64835,-106.00216,1048689.08,1349856.54,2398545.62,2023-01-04-124529
1912 Cannabis Company Llc - 10Th St Retail,1009 E 10th St,Alamogordo,NM,88310,32.90018,-105.94957,2710.5,4836.33,7546.83,2023-01-04-124529
420 Tea Time Llc/ Retail- Rover Blvd,35 Rover Blvd,White Rock,NM,87544,35.82772,-106.20685,30938.11,70410.99,101349.1,2023-01-04-124529
505 Farms Abq Llc - Lomas Blvd Retail,5401 Lomas Blvd Ste A,Albuquerque,NM,87110,35.08765,-106.58447,3899.97,2139.99,6039.97,2023-01-04-124529
505Four20 - N Main Retail,221 N Main St,Belen,NM,87002,34.66224,-106.77657,202080.84,332128.18,534209.02,2023-01-04-124529
A Nice Dream Inc - Edith Retail,5050 Edith,Albuquerque,NM,87107,35.13109,-106.6273,1443.54,396.51,1840.05,2023-01-04-124529
Akeso Botanicals Llc,200 Conway,Las Cruces,NM,88005,32.27726,-106.76909,11099.72,13107.66,24207.38,2023-01-04-124529
"All In 107 Main St Llc - Main St, Portales",107 S Main Ave,Portales,NM,88130,34.18653,-103.33696,3001.41,11119.37,14120.78,2023-01-04-124529
Amnesia Dispensary  Accessories,"2723 San Mateo Blvd NE, Suite B",Albuquerque,NM,87110,35.102909,-106.58681,228271.84,804191.95,1032463.79,2023-01-04-124529
Animacann Inc - 20Th St Retail,1901 E 20th St,Farmington,NM,87401,36.74787,-108.1817,19888.74,211819.16,231707.9,2023-01-04-124529
Astro Buds Llc - Mccombs Rd Retail,308 McCombs Rd,Chaparral,NM,88081,32.01755,-106.40944,120249.14,1288250.98,1408500.12,2023-01-04-124529
Ayas 2021 Llc - Norris St Retail,408 N Norris St,Clovis,NM,88101,34.40215,-103.17924,89383.76,356191.07,445574.83,2023-01-04-124529
Best Daze,1609 Isleta Blvd B,Albuquerque,NM,87105,35.05302,-106.67845,54490.48,97307.43,151797.91,2023-01-04-124529
Best Daze,800 Mills Ave,Las Vegas,NM,87701,35.605472,-105.22287,429583.77,640843.62,1070427.39,2023-01-04-124529
Best Daze - Formerly Giving Tree Organics-Production,527  527B N. Riverside Dr.,Espanola,NM,87532,36.023218,-106.06371,778252.25,968352.38,1746604.63,2023-01-04-124529
Best Daze Retail,200 Coors Blvd NW,Albuquerque,NM,87105,35.08259,-106.71051,393025.3,791317.06,1184342.36,2023-01-04-124529
Best Daze Retail, 5212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,130894.33,188814.03,319708.36,2023-01-04-124529
Best Daze Retail,5212 4th St NW,Albuquerque,NM,87107,35.13526,-106.64154,104751.73,163922.41,268674.14,2023-01-04-124529
Best Daze Retail,820 Mercer St,Santa Fe,NM,87505,35.679189,-105.954293,750164.6,1207172.55,1957337.15,2023-01-04-124529
Best Daze Retail Santa Fe,4641 Airport Rd,Santa Fe,NM,87507,35.638455,-106.024415,1301409.91,1561181.33,2862591.24,2023-01-04-124529
Best Daze Retail Santa Fe,7 Avenida Vista Grande,Santa Fe,NM,87508,35.539211,-105.897789,435568.35,454114.66,889683.01,2023-01-04-124529
Big Ranch Cultivation - Hudson Retail,909 N Hudson,Silver City,NM,88061,32.77514,-108.2746,69.0,94.0,163.0,2023-01-04-124529
Bighorn Ventures- Retail,536 Paseo del Pueblo Norte,Taos,NM,87571,36.41598,-105.56975,0.0,195.0,195.0,2023-01-04-124529
Bosque Buds Llc/ Retail 6Th St Nw,2505 6th St NW,Albuquerque,NM,87102,35.11043,-106.64875,4169.89,9496.71,13666.6,2023-01-04-124529
Boutique High - Lomas Blvd Retail,13025 Lomas Blvd NE Ste B,Albuquerque,NM,87112,35.087592,-106.542626,48099.37,172132.3,220231.66,2023-01-04-124529
Bryans Greencare Retail, 3108 North Main,Roswell,NM,88201,33.629001,-104.553122,19487.7,62428.35,81916.05,2023-01-04-124529
Bryans Greencare Retail,2117 Sudderth,Ruidoso,NM,88345,33.33048,-105.66713,14162.92,95668.0,109830.92,2023-01-04-124529
Bryans Greencare Retail, 2117 Sudderth,Ruidoso,NM,88345,33.328558,-105.663388,19904.7,141102.28,161006.98,2023-01-04-124529
Bryans Greencare Retail,201 North Grimes,Hobbs,NM,88240,32.714508,-103.144847,150821.5,1299094.46,1449915.96,2023-01-04-124529
Bryans Greencare Retail,3108 North Main,Roswell,NM,88201,33.629001,-104.553122,17943.26,126267.12,144210.38,2023-01-04-124529
Bud Board Dispensary Llc - Pierce Retail,618 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,402330.42,1686317.32,2088647.74,2023-01-04-124529
Bud Brothers Llc - Hobbs Retail,2702 W Marland Blvd,Hobbs,NM,88240,32.69685,-103.17012,1563.04,207032.06,208595.1,2023-01-04-124529
Bud In Bud Out Llc,915 E Main St,Tucumcari,NM,88401,35.179079,-103.725539,35969.21,116434.19,152403.4,2023-01-04-124529
Budder Pros,121 US Route 66,Moriarty,NM,87035,34.99005,-106.049189,61415.67,160813.07,222228.74,2023-01-04-124529
Budding Hope,1514 Coors Blvd Ste B,Albuquerque,NM,87121,35.191492,-106.657001,561240.95,601939.95,1163180.9,2023-01-04-124529
Budding Hope - San Mateo Retail,2621 San Mateo Blvd NE Ste B,Albuquerque,NM,87110,35.102909,-106.58681,547218.77,462931.08,1010149.85,2023-01-04-124529
Budding Industries Llc - Burro Ave Retail,504 Burro Ave,Cloudcroft,NM,88317,32.95855,-105.739787,35469.42,254789.49,290258.91,2023-01-04-124529
Buffalo Bud Farming Co Llc - Retail,910 N Pope St,Silver City,NM,88061,32.77495,-108.27596,86419.82,121293.92,207713.74,2023-01-04-124529
