Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
" Kure, Inc. Dispensary Santa Fe Third Location",3354 Cerrillos Rd,Santa Fe,NM,87507,35.620423,-106.028899,965548.08,1209869.04,2175417.12,2022-12-02-154633
420 Tea Time Llc/ Retail- Rover Blvd,35 Rover Blvd,White Rock,NM,87544,35.82772,-106.20685,23070.8,49262.57,72333.37,2022-12-02-154633
505Four20 - N Main Retail,221 N Main St,Belen,NM,87002,34.66224,-106.77657,186202.68,299968.43,486171.11,2022-12-02-154633
A Nice Dream Inc - Edith Retail,5050 Edith,Albuquerque,NM,87107,35.13109,-106.6273,1443.54,396.51,1840.05,2022-12-02-154633
Akeso Botanicals Llc,200 Conway,Las Cruces,NM,88005,32.27726,-106.76909,8611.54,10190.41,18801.95,2022-12-02-154633
"All In 107 Main St Llc - Main St, Portales",107 S Main Ave,Portales,NM,88130,34.18653,-103.33696,1591.0,6851.35,8442.35,2022-12-02-154633
Amnesia Dispensary  Accessories,"2723 San Mateo Blvd NE, Suite B",Albuquerque,NM,87110,35.102909,-106.58681,195058.55,687353.88,882412.43,2022-12-02-154633
Animacann Inc - 20Th St Retail,1901 E 20th St,Farmington,NM,87401,36.74787,-108.1817,12904.95,122829.26,135734.21,2022-12-02-154633
Astro Buds Llc - Mccombs Rd Retail,308 McCombs Rd,Chaparral,NM,88081,32.020137,-106.409268,104373.06,1021990.17,1126363.23,2022-12-02-154633
Ayas 2021 Llc - Norris St Retail,408 N Norris St,Clovis,NM,88101,34.396266,-103.178416,78117.29,294193.13,372310.42,2022-12-02-154633
Best Daze,1609 Isleta Blvd B,Albuquerque,NM,87105,35.05302,-106.67845,29511.34,46671.88,76183.22,2022-12-02-154633
Best Daze,800 Mills Ave,Las Vegas,NM,87701,35.605472,-105.22287,386890.3,575009.89,961900.19,2022-12-02-154633
Best Daze - Formerly Giving Tree Organics-Production,527  527B N. Riverside Dr.,Espanola,NM,87532,36.023218,-106.06371,718142.09,865784.08,1583926.17,2022-12-02-154633
Best Daze Retail, 5212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,130894.33,188814.03,319708.36,2022-12-02-154633
Best Daze Retail,5212 4th St NW,Albuquerque,NM,87107,35.13526,-106.64154,81165.82,127594.76,208760.58,2022-12-02-154633
Best Daze Retail,820 Mercer St,Santa Fe,NM,87505,35.679189,-105.954293,680965.38,1068975.44,1749940.82,2022-12-02-154633
Best Daze Retail,200 Coors Blvd NW,Albuquerque,NM,87105,35.11259,-106.702317,367094.85,718145.12,1085239.97,2022-12-02-154633
Best Daze Retail Santa Fe,4641 Airport Rd,Santa Fe,NM,87507,35.638455,-106.024415,1202478.55,1412049.28,2614527.83,2022-12-02-154633
Best Daze Retail Santa Fe,7 Avenida Vista Grande,Santa Fe,NM,87508,35.539211,-105.897789,395489.88,400709.84,796199.72,2022-12-02-154633
Big Ranch Cultivation - Hudson Retail,909 N Hudson,Silver City,NM,88061,32.77514,-108.2746,69.0,94.0,163.0,2022-12-02-154633
