SalesLicenseeId,Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
230e6b6c-04d8-47f0-baed-d0a30e3f09c5," Kure, Inc. Dispensary Santa Fe Third Location",3354 Cerrillos Rd,SANTA FE,NM,87507,35.64835,-106.00216,1118558.58,1475355.04,2593913.62,2023-02-02-093117
3d6fcd73-a6e3-4b81-94a6-cc77d1ecab4c,1912 Cannabis Company Llc - 10Th St Retail,1009 E 10th St,ALAMOGORDO,NM,88310,32.90018,-105.94957,16165.01,21308.48,37473.49,2023-02-02-093117
3f7c4df2-cab9-490b-af5e-1f6b5efc660a,420 Tea Time Llc/ Retail- Rover Blvd,35 Rover Blvd,WHITE ROCK,NM,87544,35.82772,-106.20685,39699.49,90375.62,130075.11,2023-02-02-093117
88da0ba0-1174-4e8e-9e7c-9e810c748d87,505 Farms Abq Llc - Lomas Blvd Retail,5401 Lomas Blvd Ste A,ALBUQUERQUE,NM,87110,35.08765,-106.58447,8119.94,5135.18,13255.13,2023-02-02-093117
0de17c17-9744-4565-9761-352652ecaf92,505Four20 - N Main Retail,221 N Main St,BELEN,NM,87002,34.66224,-106.77657,216888.37,361314.16,578202.53,2023-02-02-093117
23d990be-b89d-46ba-974a-c9add201d106,A Nice Dream Inc - Edith Retail,5050 Edith,ALBUQUERQUE,NM,87107,35.13109,-106.6273,1443.54,396.51,1840.05,2023-02-02-093117
dcd95a8b-86e4-45e8-aa41-72e5d50b49ff,Above Grade Craft Cannabis Llc - San Pedro Blvd Retail,1330 San Pedro Dr NE Suite 103,ALBUQUERQUE,NM,87110,35.09043,-106.57719,2136.07,3826.94,5963.02,2023-02-02-093117
51ba4495-c537-46fb-80f8-8d5b0e4264e3,Akeso Botanicals Llc,200 Conway,LAS CRUCES,NM,88005,32.27726,-106.76909,13157.74,16684.0,29841.74,2023-02-02-093117
1d000610-6fb4-41c6-b39e-8070c7bedbda,"All In 107 Main St Llc - Main St, Portales",107 S Main Ave,PORTALES,NM,88130,34.18653,-103.33696,4642.03,17143.06,21785.09,2023-02-02-093117
0c4ac240-ec68-4626-ac8b-f7709614fe99,Amnesia Dispensary  Accessories,"2723 San Mateo Blvd NE, Suite B",ALBUQUERQUE,NM,87110,35.102909,-106.58681,272415.68,943537.47,1215953.15,2023-02-02-093117
e4a5cf5c-e285-4f6a-b33d-64cac0784d90,Amnesia Dispensary  Accessories - Isleta Blvd Retail,2035 Isleta Blvd SW Ste 1,ALBUQUERQUE,NM,87105,35.04521,-106.67917,181.6,297.65,479.25,2023-02-02-093117
4ae1fc62-9814-40aa-8602-d75d2d0dcf73,Animacann Inc - 20Th St Retail,1901 E 20th St,FARMINGTON,NM,87401,36.74787,-108.1817,27620.84,299625.39,327246.23,2023-02-02-093117
0c58076a-6a56-4d35-840a-1cb442a8f78f,Astro Buds Llc - Mccombs Rd Retail,308 McCombs Rd,CHAPARRAL,NM,88081,32.01755,-106.40944,130844.65,1504320.11,1635164.76,2023-02-02-093117
046a2215-2d55-42c5-ab67-ea7f5fb229d5,Ayas 2021 Llc - Norris St Retail,408 N Norris St,CLOVIS,NM,88101,34.40215,-103.17924,102925.68,418825.41,521751.09,2023-02-02-093117
77a7caa4-a7d4-4867-9548-6ef7ae974e11,Best Daze,1609 Isleta Blvd B,ALBUQUERQUE,NM,87105,35.05302,-106.67845,80916.82,152168.53,233085.35,2023-02-02-093117
1329ddd6-7c48-43ba-a45f-45f328bdaeaf,Best Daze,800 Mills Ave,LAS VEGAS,NM,87701,35.605472,-105.22287,469545.14,703726.31,1173271.45,2023-02-02-093117
10d6fe63-63d1-4c0c-9293-596929ea2eac,Best Daze - Formerly Giving Tree Organics-Production,527  527B N. Riverside Dr.,ESPANOLA,NM,87532,36.023218,-106.06371,830644.35,1058325.34,1888969.69,2023-02-02-093117
0b000075-6716-42c1-866e-4befc3019485,Best Daze Retail,820 Mercer St,SANTA FE,NM,87505,35.679189,-105.954293,817311.98,1330243.47,2147555.45,2023-02-02-093117
74671c71-f5cb-45c4-bc6a-af47179a295b,Best Daze Retail, 5212 4th St NW,ALBUQUERQUE,NM,87107,35.13857,-106.641295,130894.33,188814.03,319708.36,2023-02-02-093117
1815f1e8-6a7b-4225-b6f1-5cbdd002a482,Best Daze Retail,5212 4th St NW,ALBUQUERQUE,NM,87107,35.13526,-106.64154,125797.42,197603.96,323401.38,2023-02-02-093117
416b44dd-f2e7-4cd4-ab28-3356853302ce,Best Daze Retail,200 Coors Blvd NW,ALBUQUERQUE,NM,87105,35.08259,-106.71051,419146.48,862831.41,1281977.89,2023-02-02-093117
059985b1-8aa0-4e0d-a150-71f26f20c724,Best Daze Retail Santa Fe,4641 Airport Rd,SANTA FE,NM,87507,35.638455,-106.024415,1391252.42,1705004.3,3096256.72,2023-02-02-093117
1ce1959d-b21f-47cc-8ad2-ed6c94e40b22,Best Daze Retail Santa Fe,7 Avenida Vista Grande,SANTA FE,NM,87508,35.539211,-105.897789,472007.73,509532.88,981540.61,2023-02-02-093117
c5ce46b4-d91b-4ac6-a3b5-4c6eeb118942,Big Ranch Cultivation - Hudson Retail,909 N Hudson,SILVER CITY,NM,88061,32.77514,-108.2746,69.0,94.0,163.0,2023-02-02-093117
28cbecfe-84d4-402d-8af0-eec2790a09b9,Bighorn Ventures- Retail,536 Paseo del Pueblo Norte,TAOS,NM,87571,36.41598,-105.56975,107.5,1085.0,1192.5,2023-02-02-093117
4a4fe55b-29c6-4b0c-94df-9e6d652db319,Bosque Buds Llc/ Retail 6Th St Nw,2505 6th St NW,ALBUQUERQUE,NM,87102,35.11043,-106.64875,5952.57,13390.45,19343.02,2023-02-02-093117
25d926a2-a02a-48d4-aec2-bb86872d1593,Boutique High - Lomas Blvd Retail,13025 Lomas Blvd NE Ste B,ALBUQUERQUE,NM,87112,35.087592,-106.542626,57769.12,194841.49,252610.6,2023-02-02-093117
41dbf5f3-9018-47b8-884a-0f7a487fcecb,Bryans Greencare Retail,2117 Sudderth,RUIDOSO,NM,88345,33.33048,-105.66713,18484.78,113119.9,131604.68,2023-02-02-093117
16955aa1-4116-4563-92b3-75e7ac749621,Bryans Greencare Retail,201 North Grimes,HOBBS,NM,88240,32.714508,-103.144847,164715.08,1441733.53,1606448.61,2023-02-02-093117
4a563867-3eff-4c5c-bf37-ce1b19d7fed9,Bryans Greencare Retail, 3108 North Main,ROSWELL,NM,88201,33.629001,-104.553122,19487.7,62428.35,81916.05,2023-02-02-093117
0dffa8c7-79e5-4ce1-88a4-3ef15e204abe,Bryans Greencare Retail, 2117 Sudderth,RUIDOSO,NM,88345,33.328558,-105.663388,19904.7,141102.28,161006.98,2023-02-02-093117
0284940b-cbed-4dd6-9a37-0b6cb28890a0,Bryans Greencare Retail,3108 North Main,ROSWELL,NM,88201,33.629001,-104.553122,24117.93,153988.29,178106.22,2023-02-02-093117
01a1eb92-9d72-4d1d-a0db-dabc6e4709f5,Bud Board Dispensary Llc - Pierce Retail,618 W Pierce,CARLSBAD,NM,88220,32.439778,-104.255908,448874.48,1864275.08,2313149.56,2023-02-02-093117
168723fa-9af6-4e3c-b1ad-902466e877d2,Bud Brothers Llc - Hobbs Retail,2702 W Marland Blvd,HOBBS,NM,88240,32.69685,-103.17012,1563.04,252021.95,253584.99,2023-02-02-093117
13ec60bf-7c74-44e1-800c-0e9e2f0a816a,Bud In Bud Out Llc,915 E Main St,TUCUMCARI,NM,88401,35.17923,-103.71525,41925.81,129717.87,171643.68,2023-02-02-093117
2ae25dbd-ee28-4285-982e-9902d377007c,Budder Pros,121 US Route 66,MORIARTY,NM,87035,34.99005,-106.049189,77016.59,192925.22,269941.81,2023-02-02-093117
02bd9040-e1c6-40e0-a9f3-eada539ec147,Budding Hope,1514 Coors Blvd Ste B,ALBUQUERQUE,NM,87121,35.191492,-106.657001,640973.28,674392.05,1315365.33,2023-02-02-093117
