Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
Urban Wellness Dispensary,120 98th ST NW,Albuquerque,NM,87121,35.07468,-106.74185,821721.46,1443214.97,2264936.43,2022-11-03-220052
Urban Wellness Dispensary Albuquerque,"7610 Carmel NE, Ste. B",Albuquerque,NM,87122,35.177125,-106.537841,773649.62,1274321.49,2047971.11,2022-11-03-220052
Urban Wellness Dispensary Albuquerque,4601 Paradise Blvd. Suite H,Albuquerque,NM,87114,35.084103,-106.650985,1770406.57,2148704.76,3919111.33,2022-11-03-220052
Urban Wellness- Dispensary,6220 San Mateo BLVD,Albuquerque,NM,87190,35.084103,-106.650985,678640.45,1264397.39,1943037.84,2022-11-03-220052
Vana Society Llc,"3608 N Prince Street, Suite E",Clovis,NM,88101,34.399485,-103.19657,58165.05,387012.33,445177.37,2022-11-03-220052
Verdes Foundation,7301 San Antonio Drive NE,Albuquerque,NM,87109,35.160407,-106.588243,3297491.45,1635093.62,4932585.07,2022-11-03-220052
Verdes Foundation,6005 Coronado Ave NE,Albuquerque,NM,87109,35.16602,-106.57951,71.0,0.0,71.0,2022-11-03-220052
Verdes Foundation,2320 Grande Blvd. SE,Rio Rancho,NM,87124,35.221862,-106.663632,2743417.39,1226405.18,3969822.57,2022-11-03-220052
Verdes Foundation- Retail Location,220 Shelby St,Santa Fe,NM,87501,35.685442,-105.938583,268408.94,516782.83,785191.77,2022-11-03-220052
Wheeed Llc - Los Alamos Retail,555 Oppenheimer Dr,Los Alamos,NM,87544,35.881688,-106.305683,125390.56,243123.29,368513.85,2022-11-03-220052
Zia Collective Dispensary- Solano Retail,951 N Solano Dr Suite B,Las Cruces,NM,88001,32.314035,-106.779808,8521.82,27932.77,36454.59,2022-11-03-220052
Zia Toke Llc - Main St Retail,4339 E Main St,Farmington,NM,87402,36.774322,-108.133162,42711.54,398592.73,441304.27,2022-11-03-220052
Zold Llc,205 Wheeler Ave,Texico,NM,88135,34.388724,-103.043704,28850.92,391439.39,420290.31,2022-11-03-220052
Zs Bud Board Llc - Mechem Retail,200 Mechem Unit 5,Ruidoso,NM,88345,33.333995,-105.681249,28164.14,45596.59,73760.73,2022-11-03-220052
